Image	Total Healthy	Total Unhealthy	Healthy/Total	Unhealthy/Total
ago10_CPB_#1_11dpi.JPG, 191693955.000000, 451350.000000, 0.997651, 0.002349
ago10_CPB_#1_13dpi.JPG, 252576735.000000, 4318170.000000, 0.983191, 0.016809
ago10_CPB_#1_15dpi.JPG, 275557080.000000, 2588505.000000, 0.990694, 0.009306
ago10_CPB_#1_17dpi.JPG, 277279605.000000, 6060330.000000, 0.978611, 0.021389
ago10_CPB_#1_1dbi.JPG, 67870035.000000, 330225.000000, 0.995158, 0.004842
ago10_CPB_#1_1dpi.JPG, 67316175.000000, 0.000000, 1.000000, 0.000000
ago10_CPB_#1_3dpi.JPG, 79814235.000000, 690540.000000, 0.991422, 0.008578
ago10_CPB_#1_5dpi.JPG, 103769445.000000, 3655680.000000, 0.965970, 0.034030
ago10_CPB_#1_7dpi.JPG, 120592815.000000, 4767990.000000, 0.961966, 0.038034
ago10_CPB_#1_9dpi.JPG, 152774070.000000, 3104370.000000, 0.980085, 0.019915
ago10_CPB_#2_11dpi.JPG, 266233260.000000, 5077815.000000, 0.981284, 0.018716
ago10_CPB_#2_13dpi.JPG, 362118105.000000, 4887075.000000, 0.986684, 0.013316
ago10_CPB_#2_15dpi.JPG, 388741890.000000, 7954980.000000, 0.979947, 0.020053
ago10_CPB_#2_17dpi.JPG, 397732935.000000, 5771925.000000, 0.985696, 0.014304
ago10_CPB_#2_1dbi.JPG, 80593260.000000, 0.000000, 1.000000, 0.000000
ago10_CPB_#2_1dpi.JPG, 80710815.000000, 397800.000000, 0.995095, 0.004905
ago10_CPB_#2_3dpi.JPG, 100812975.000000, 1174785.000000, 0.988481, 0.011519
ago10_CPB_#2_5dpi.JPG, 133238010.000000, 3745695.000000, 0.972656, 0.027344
ago10_CPB_#2_7dpi.JPG, 157003500.000000, 2630580.000000, 0.983521, 0.016479
ago10_CPB_#2_9dpi.JPG, 212691930.000000, 3310155.000000, 0.984675, 0.015325
ago10_CPB_#3_11dpi.JPG, 260187975.000000, 3370590.000000, 0.987211, 0.012789
ago10_CPB_#3_13dpi.JPG, 363678705.000000, 3549090.000000, 0.990335, 0.009665
ago10_CPB_#3_15dpi.JPG, 410111145.000000, 3739575.000000, 0.990964, 0.009036
ago10_CPB_#3_17dpi.JPG, 501104835.000000, 3034500.000000, 0.993981, 0.006019
ago10_CPB_#3_1dbi.JPG, 88725720.000000, 666060.000000, 0.992549, 0.007451
ago10_CPB_#3_1dpi.JPG, 93915225.000000, 783870.000000, 0.991723, 0.008277
ago10_CPB_#3_3dpi.JPG, 111391140.000000, 3261705.000000, 0.971551, 0.028449
ago10_CPB_#3_5dpi.JPG, 136998240.000000, 5596230.000000, 0.960754, 0.039246
ago10_CPB_#3_7dpi.JPG, 165513870.000000, 4713420.000000, 0.972311, 0.027689
ago10_CPB_#3_9dpi.JPG, 210784530.000000, 4515795.000000, 0.979026, 0.020974
ago10_CPB_#4_11dpi.JPG, 210871230.000000, 5381010.000000, 0.975117, 0.024883
ago10_CPB_#4_13dpi.JPG, 301503585.000000, 2059635.000000, 0.993215, 0.006785
ago10_CPB_#4_15dpi.JPG, 346090335.000000, 2856255.000000, 0.991815, 0.008185
ago10_CPB_#4_17dpi.JPG, 372311220.000000, 5139780.000000, 0.986383, 0.013617
ago10_CPB_#4_1dbi.JPG, 70249950.000000, 0.000000, 1.000000, 0.000000
ago10_CPB_#4_1dpi.JPG, 68322405.000000, 0.000000, 1.000000, 0.000000
ago10_CPB_#4_3dpi.JPG, 80734530.000000, 1832940.000000, 0.977801, 0.022199
ago10_CPB_#4_5dpi.JPG, 103145970.000000, 3668685.000000, 0.965654, 0.034346
ago10_CPB_#4_7dpi.JPG, 116651790.000000, 4325820.000000, 0.964243, 0.035757
ago10_CPB_#4_9dpi.JPG, 152978835.000000, 3945615.000000, 0.974857, 0.025143
ago10_M_#1_11dpi.JPG, 367707195.000000, 4499475.000000, 0.987911, 0.012089
ago10_M_#1_13dpi.JPG, 436071675.000000, 2877165.000000, 0.993445, 0.006555
ago10_M_#1_15dpi.JPG, 464947110.000000, 5109690.000000, 0.989130, 0.010870
ago10_M_#1_17dpi.JPG, 447944220.000000, 9426840.000000, 0.979389, 0.020611
ago10_M_#1_1dbi.JPG, 100172415.000000, 512295.000000, 0.994912, 0.005088
ago10_M_#1_1dpi.JPG, 108001680.000000, 1258425.000000, 0.988482, 0.011518
ago10_M_#1_3dpi.JPG, 140889540.000000, 2271795.000000, 0.984131, 0.015869
ago10_M_#1_5dpi.JPG, 186099765.000000, 5746425.000000, 0.970047, 0.029953
ago10_M_#1_7dpi.JPG, 219282150.000000, 5410590.000000, 0.975920, 0.024080
ago10_M_#1_9dpi.JPG, 285117540.000000, 6452775.000000, 0.977869, 0.022131
ago10_M_#2_11dpi.JPG, 278520435.000000, 3558780.000000, 0.987384, 0.012616
ago10_M_#2_13dpi.JPG, 400753410.000000, 4604280.000000, 0.988641, 0.011359
ago10_M_#2_15dpi.JPG, 418275225.000000, 2948565.000000, 0.993000, 0.007000
ago10_M_#2_17dpi.JPG, 435525465.000000, 5267025.000000, 0.988051, 0.011949
ago10_M_#2_1dbi.JPG, 93569700.000000, 1624605.000000, 0.982934, 0.017066
ago10_M_#2_1dpi.JPG, 88079805.000000, 1609305.000000, 0.982057, 0.017943
ago10_M_#2_3dpi.JPG, 117573105.000000, 2646390.000000, 0.977987, 0.022013
ago10_M_#2_5dpi.JPG, 154362465.000000, 4292670.000000, 0.972943, 0.027057
