Image	Mean1	Mean2	Mean3	Covariance1	Covariance2	Covariance3	Weight1	Weight2	Weight3
ago10_CPB_#1_11dpi.JPG, 50.268955, 55.099146, 60.973219, 2.353252, 3.543264, 13.555996, 0.859417, 0.107085, 0.033498
ago10_CPB_#1_13dpi.JPG, 41.111157, 50.140538, 60.029137, 8.783012, 2.201673, 11.499269, 0.031748, 0.932125, 0.036127
ago10_CPB_#1_15dpi.JPG, 50.650751, 48.401785, 53.974194, 2.117999, 2.256905, 14.125263, 0.528190, 0.414591, 0.057219
ago10_CPB_#1_17dpi.JPG, 60.697886, 50.196817, 29.823053, 12.284443, 3.124614, 7.102663, 0.034318, 0.945655, 0.020027
ago10_CPB_#1_1dbi.JPG, 49.526400, 60.580053, 53.820213, 2.163312, 16.561863, 3.985473, 0.882708, 0.048187, 0.069104
ago10_CPB_#1_1dpi.JPG, 69.022115, 48.844042, 52.646878, 11.099270, 2.284715, 2.857703, 0.032423, 0.801817, 0.165761
ago10_CPB_#1_3dpi.JPG, 50.115945, 58.978085, 52.742765, 2.855111, 14.172979, 2.475329, 0.727062, 0.072003, 0.200935
ago10_CPB_#1_5dpi.JPG, 50.609719, 67.292981, 34.066165, 2.924472, 10.653903, 6.930187, 0.925917, 0.036023, 0.038060
ago10_CPB_#1_7dpi.JPG, 52.881190, 50.448367, 24.605004, 12.954190, 2.793819, 4.313390, 0.125427, 0.859514, 0.015059
ago10_CPB_#1_9dpi.JPG, 26.318142, 50.811128, 55.439498, 5.354099, 2.597390, 10.437070, 0.011739, 0.868541, 0.119721
ago10_CPB_#2_11dpi.JPG, 50.592076, 52.974395, 50.356942, 4.277525, 17.396343, 1.809583, 0.283774, 0.041714, 0.674512
ago10_CPB_#2_13dpi.JPG, 49.723083, 55.845565, 52.290782, 2.168319, 12.257671, 2.365368, 0.711551, 0.048238, 0.240211
ago10_CPB_#2_15dpi.JPG, 51.028285, 53.464138, 48.877140, 2.205207, 12.535612, 2.398526, 0.649084, 0.061828, 0.289088
ago10_CPB_#2_17dpi.JPG, 53.473936, 50.465099, 53.497130, 13.064573, 2.610683, 2.450420, 0.060503, 0.678148, 0.261349
